YearMonth,DATE,FED Rate,Indice des prix à la consommation (IPC),Core PCE excluding Food and Energy,Inflation 'noyau' (Core CPI),Taux de chômage,Taux de participation au marché du travail,Créations d'emplois non agricoles (Nonfarm Payrolls),Produit intérieur brut (PIB),Ventes au détail,Indice de confiance des consommateurs du Conference Board,Indice des prix à la production (PPI),New Home Sales,Indice des prix à la consommation (IPC)_change_prev_period,Indice des prix à la consommation (IPC)_change_prev_year,Core PCE excluding Food and Energy_change_prev_period,Core PCE excluding Food and Energy_change_prev_year,Inflation 'noyau' (Core CPI)_change_prev_period,Inflation 'noyau' (Core CPI)_change_prev_year,Taux de chômage_change_prev_period,Taux de chômage_change_prev_year,Taux de participation au marché du travail_change_prev_period,Taux de participation au marché du travail_change_prev_year,Créations d'emplois non agricoles (Nonfarm Payrolls)_change_prev_period,Créations d'emplois non agricoles (Nonfarm Payrolls)_change_prev_year,Produit intérieur brut (PIB)_change_prev_period,Produit intérieur brut (PIB)_change_prev_year,Ventes au détail_change_prev_period,Ventes au détail_change_prev_year,Indice de confiance des consommateurs du Conference Board_change_prev_period,Indice de confiance des consommateurs du Conference Board_change_prev_year,Indice des prix à la production (PPI)_change_prev_period,Indice des prix à la production (PPI)_change_prev_year,New Home Sales_change_prev_period,New Home Sales_change_prev_year,FED Rate_change_prev_period,Rate Change Indicator,USGG10YR Index,USGG5YR Index,USGG13Week Index,DXY Curncy
1981-01,1981-01-31,17.25,87.2,39.861,85.4,7.5,63.9,91033.0,7459.022,7512.1112993364495,2.65686,95.2,511.0,0.92592592592593,11.794871794871797,0.867958904802868,9.76456009913258,0.5889281507656108,11.342894393741854,4.166666666666674,19.047619047619047,0.4716981132075526,-0.15625000000000222,0.09896308676864418,0.2566079295154289,0.6447188934321835,1.6000011986558205,0.18717318353396184,2.245248297511915,-20.002529221541742,51.77633946678397,1.4925373134328401,11.737089201877925,-3.9473684210526327,-13.682432432432435,-4.75,1,12.680000305175781,12.800000190734863,14.59000015258789,95.23999786376953
1981-02,1981-02-28,15.53,88.0,40.152,85.9,7.4,63.9,91105.0,7440.596333333333,7528.253942217881,1.92848,96.1,510.0,0.917431192660545,11.392405063291132,0.7300368781515854,9.474602611991179,0.5854800936768045,10.838709677419356,-1.3333333333333308,17.460317460317466,0.0,-0.15625000000000222,0.07909219733504003,0.2442701055202834,-0.24702523556930922,2.0499142268809223,0.2148882283314446,2.259354363322452,-27.415068915938367,-25.746012921906402,0.9453781512605008,10.58688147295741,-0.195694716242667,-5.7301293900184795,-1.7200000000000006,1,13.430000305175781,13.760000228881836,14.220000267028809,97.05999755859375
1981-03,1981-03-31,14.63,88.6,40.375,86.4,7.4,64.1,91210.0,7422.170666666667,7544.396585099311,1.64222,97.0,514.0,0.6818181818181834,10.611735330836458,0.5553895198246561,9.071507685657942,0.5820721769499437,9.92366412213741,0.0,17.460317460317466,0.3129890453833939,0.6279434850863241,0.11525163273147232,0.2373782886783804,-0.24763696135644553,2.506093438789514,0.2144274489852549,2.273403931832285,-14.843814817887658,-55.86355549105295,0.9365244536940764,10.857142857142854,0.7843137254901933,8.438818565400851,-0.8999999999999986,1,13.130000114440918,13.390000343322754,12.460000038146973,96.76000213623047
1981-04,1981-04-30,18.92,89.1,40.633,87.0,7.2,64.2,91283.0,7403.745,7560.539227980742,1.93729,98.0,470.0,0.5643340857787837,10.135970333745359,0.639009287925707,9.207944741580887,0.694444444444442,9.433962264150942,-2.7027027027027084,4.347826086956519,0.15600624024962872,0.6269592476489061,0.08003508387237623,0.4777157701240542,-0.2482517243832416,2.9686706612209957,0.2139686414857067,2.287397341785735,17.967750971246232,-50.501932869512785,1.0309278350515427,11.617312072892938,-8.560311284046696,27.027027027027017,4.290000000000001,3,14.109999656677246,14.449999809265137,14.859999656677246,100.44999694824219
1981-05,1981-05-31,17.56,89.7,40.913,87.8,7.5,64.3,91296.0,7433.298333333333,7577.653082827559,2.69952,98.3,467.0,0.6734006734006925,9.79192166462668,0.6890950705091825,9.080971551976958,0.9195402298850519,9.612983770287142,4.166666666666674,0.0,0.15576323987538387,0.62597809076681,0.014241425018890475,0.9688122096881191,0.3991673583211286,3.4206614399256985,0.22635759607569916,2.3417004662602547,39.34516773430927,2.3390527026105,0.3061224489795844,11.325028312570783,-0.6382978723404209,-0.4264392324093813,-1.360000000000003,1,13.5,13.989999771118164,15.100000381469727,104.94999694824219
1981-06,1981-06-30,18.64,90.5,41.117,88.6,7.5,63.7,91490.0,7462.8516666666665,7594.766937674377,3.32979,98.5,415.0,0.8918617614269708,9.696969696969692,0.49861902084911147,8.901896387329167,0.9111617312072884,9.3827160493827,0.0,-1.3157894736842035,-0.9331259720062102,0.0,0.21249561864704614,1.541603311838946,0.3975803473514006,3.8730106443070733,0.2258463756489526,2.3958161589925364,23.34748399715505,127.6110271851695,0.20345879959309254,11.048478015783548,-11.134903640256955,-24.818840579710145,1.0800000000000018,3,13.859999656677246,14.25,14.279999732971191,107.70999908447266
1981-07,1981-07-31,17.46,91.5,41.365,89.8,7.2,63.8,91601.0,7492.405,7611.880792521194,3.54185,99.0,431.0,1.104972375690605,10.774818401937058,0.603156845100572,8.795139528155493,1.3544018058690765,11.138613861386148,-3.9999999999999925,-7.692307692307687,0.15698587127157548,0.0,0.12132473494370632,1.9601513802315118,0.39600590569601746,4.325718700878034,0.22533745916444303,2.44974538871503,6.368569789686451,348.80697441615877,0.50761421319796,9.63455149501662,3.855421686746996,-32.23270440251572,-1.1799999999999997,1,14.670000076293945,15.239999771118164,14.869999885559082,111.72000122070312
1981-08,1981-08-31,16.83,92.2,41.642,90.7,7.4,63.8,91565.0,7465.192666666667,7629.960281529864,3.25489,99.0,378.0,0.7650273224043769,10.817307692307686,0.6696482533542936,8.737204930018816,1.0022271714922093,11.56211562115621,2.77777777777779,-3.8961038961038974,0.0,0.15698587127157548,-0.039300880994752596,1.6270990799009954,-0.3631989105411848,3.3046248141591184,0.23751671237985938,2.508478476866305,-8.101980603357006,262.01243451857954,0.0,8.196721311475418,-12.296983758700698,-42.64036418816388,-0.6300000000000026,1,15.40999984741211,16.110000610351562,15.520000457763672,110.27999877929688
1981-09,1981-09-30,16.58,93.1,41.915,91.8,7.6,63.5,91477.0,7437.980333333333,7648.039770538533,2.98761,98.8,338.0,0.9761388286333883,10.96543504171632,0.6555881081600212,8.427969061230822,1.2127894156560126,11.814859926918398,2.7027027027026973,1.3333333333333197,-0.470219435736674,-0.15723270440252124,-0.09610659094632101,1.4011284404686686,-0.36452285357404524,2.2960701087057833,0.23695390724949306,2.567000785463658,-8.211644633151959,142.36900386964885,-0.20202020202020332,7.742639040348953,-10.582010582010582,-43.288590604026844,-0.25,1,15.84000015258789,16.270000457763672,14.34000015258789,107.7300033569336
1981-10,1981-10-31,14.44,93.4,42.165,92.1,7.9,63.8,91380.0,7410.768,7666.119259547203,2.74867,98.9,356.0,0.3222341568206444,10.271546635182993,0.5964451866873333,8.184733803720334,0.32679738562091387,10.963855421686741,3.9473684210526327,5.3333333333333455,0.47244094488188004,0.15698587127157548,-0.10603758321764412,0.9835340921648728,-0.3658564840697487,1.2998250196119887,0.23639376299160464,2.6253134471337702,-7.997697155920614,42.56808975243391,0.10121457489880026,6.573275862068972,5.3254437869822535,-36.54188948306596,-2.139999999999999,1,14.630000114440918,14.779999732971191,12.75,106.12999725341797
