Date,USGG10YR Index,VIX Index,DXY Curncy,Indice des prix à la consommation (IPC),Indice des prix des dépenses de consommation personnelle (PCE),Inflation 'noyau' (Core CPI),Taux de chômage,Taux de participation au marché du travail,Créations d'emplois non agricoles (Nonfarm Payrolls),Produit intérieur brut (PIB),Ventes au détail,Commandes de biens durables,Indice de confiance des consommateurs du Conference Board,Indice de sentiment des consommateurs de l'Université du Michigan,Indice des prix à la production (PPI),Observation Value,Observation Value_EIUIR,Observation Value_EIUIQ,Actuel,Rate Change Indicator
1992-01-01,7.309999942779541,17.399999618530273,87.48999786376953,138.3,62.638,145.1,7.3,66.3,108367.0,10236.435,130617.0,,,67.5,115.6,7.3,94.0,95.7,,
1992-02-01,7.269999980926514,16.68000030517578,88.98999786376953,138.6,62.797,145.4,7.4,66.2,108312.0,10236.435,130396.0,114535.0,-0.66446,68.8,116.0,7.4,94.0,96.3,,
1992-03-01,7.539999961853027,16.18000030517578,89.6500015258789,139.1,62.949,145.9,7.4,66.4,108361.0,10236.435,130385.0,120025.0,-0.66365,76.0,116.1,7.4,93.9,96.2,,
1992-04-01,7.610000133514404,15.529999732971191,89.62000274658203,139.4,63.119,146.3,7.4,66.5,108515.0,10347.429,130933.0,124470.0,-0.67608,77.2,116.3,7.4,93.6,96.4,0.0375,1.0
1992-05-01,7.329999923706055,13.859999656677246,87.22000122070312,139.7,63.203,146.8,7.6,66.6,108648.0,10347.429,131255.0,125822.0,-0.785,79.2,117.2,7.6,94.0,96.7,,
1992-06-01,7.139999866485596,13.350000381469727,83.72000122070312,140.1,63.315,147.1,7.8,66.7,108717.0,10347.429,131296.0,122834.0,-0.86549,80.4,118.0,7.8,94.8,96.5,,
1992-07-01,6.71999979019165,13.170000076293945,81.91000366210938,140.5,63.524,147.6,7.7,66.7,108799.0,10449.673,132058.0,122590.0,-0.91902,76.6,117.9,7.7,95.3,96.6,0.0325,1.0
1992-08-01,6.619999885559082,13.579999923706055,78.87999725341797,140.8,63.609,147.9,7.6,66.6,108923.0,10449.673,133215.0,120411.0,-0.94557,76.1,117.7,7.6,95.7,96.3,,
1992-09-01,6.369999885559082,14.279999732971191,81.0999984741211,141.1,63.713,148.1,7.6,66.5,108954.0,10449.673,133510.0,120711.0,-0.91018,75.6,118.0,7.6,95.9,96.6,0.03,1.0
1992-10-01,6.800000190734863,16.149999618530273,87.62999725341797,141.7,63.938,148.8,7.3,66.2,109135.0,10558.648,134653.0,127392.0,-0.81094,73.3,118.1,7.3,96.6,96.3,,
1992-11-01,6.949999809265137,13.010000228881836,90.83999633789062,142.1,64.064,149.2,7.4,66.3,109280.0,10558.648,135075.0,122374.0,-0.66389,85.3,117.8,7.4,96.0,96.2,,
1992-12-01,6.699999809265137,12.569999694824219,92.36000061035156,142.3,64.176,149.6,7.4,66.3,109500.0,10558.648,136833.0,126080.0,-0.71946,91.0,117.6,7.4,94.4,96.3,,
1993-01-01,6.389999866485596,12.420000076293945,92.45999908447266,142.8,64.332,150.1,7.3,66.2,109795.0,10576.275,137487.0,121637.0,-0.91644,89.3,118.0,7.3,94.3,96.4,,
1993-02-01,6.03000020980835,13.15999984741211,94.05000305175781,143.1,64.429,150.6,7.1,66.2,110044.0,10576.275,137021.0,128854.0,-0.96207,86.6,118.4,7.1,94.2,96.7,,
1993-03-01,6.03000020980835,12.529999732971191,91.87000274658203,143.3,64.561,150.8,7.0,66.2,109992.0,10576.275,136351.0,126762.0,-0.96595,85.9,118.7,7.0,94.7,96.6,,
1993-04-01,6.050000190734863,12.420000076293945,89.48999786376953,143.8,64.733,151.4,7.1,66.1,110295.0,10637.847,138228.0,127395.0,-0.99067,85.6,119.3,7.1,95.2,96.8,,
